Seed,Rooms,Connections,Corridors,FloorCells,RoomCells,CorridorCells,AverageRoomArea,SmallestRoomArea,LargestRoomArea,TotalCorridorLength,AverageCorridorLength,GraphDistance,ShortestPlayablePath
87,16,15,15,1639,1532,256,95.75,30,357,306,20.40,4,99
88,14,13,13,1572,1457,251,104.07,30,175,307,23.62,4,98
89,14,13,13,1273,1141,255,81.50,30,176,331,25.46,4,95
90,14,13,13,1772,1637,322,116.93,35,486,372,28.62,3,101
91,16,15,15,1650,1528,275,95.50,25,252,341,22.73,4,107
92,13,12,12,1192,1063,264,81.77,35,234,296,24.67,4,100
93,14,13,13,1671,1546,264,110.43,40,399,331,25.46,4,104
94,14,13,13,1738,1659,234,118.50,30,260,321,24.69,3,97
95,13,12,12,1657,1538,262,118.31,35,459,302,25.17,4,100
96,12,11,11,1384,1271,267,105.92,25,276,316,28.73,4,119
97,14,13,13,1526,1408,261,100.57,30,232,321,24.69,4,105
98,12,11,11,1203,1087,221,90.58,25,225,302,27.45,3,111
99,14,13,13,1472,1338,288,95.57,25,276,335,25.77,4,92
100,12,11,11,1343,1196,302,99.67,30,220,336,30.55,3,76
