Seed,Rooms,Connections,Corridors,FloorCells,RoomCells,CorridorCells,AverageRoomArea,SmallestRoomArea,LargestRoomArea,TotalCorridorLength,AverageCorridorLength,GraphDistance,ShortestPlayablePath
84,16,15,15,2148,1367,290,85.44,30,168,321,21.40,4,112
85,12,11,11,1835,1223,217,101.92,35,357,235,21.36,4,82
86,16,15,15,1793,1131,302,70.69,25,192,344,22.93,4,93
87,16,15,15,2203,1532,256,95.75,30,357,306,20.40,4,99
88,14,13,13,2148,1457,251,104.07,30,175,307,23.62,4,98
89,14,13,13,1757,1141,255,81.50,30,176,331,25.46,4,95
90,14,13,13,2355,1637,322,116.93,35,486,372,28.62,3,101
91,16,15,15,2200,1528,275,95.50,25,252,341,22.73,4,101
92,13,12,12,1689,1063,264,81.77,35,234,296,24.67,4,100
93,14,13,13,2249,1546,264,110.43,40,399,331,25.46,4,100
94,14,13,13,2353,1659,234,118.50,30,260,321,24.69,3,97
95,13,12,12,2190,1538,262,118.31,35,459,302,25.17,4,100
96,12,11,11,1930,1271,267,105.92,25,276,316,28.73,4,103
97,14,13,13,2102,1408,261,100.57,30,232,321,24.69,4,103
98,12,11,11,1682,1087,221,90.58,25,225,302,27.45,3,111
99,14,13,13,1989,1338,288,95.57,25,276,335,25.77,4,92
100,12,11,11,1875,1196,302,99.67,30,220,336,30.55,3,76
101,15,14,14,2163,1454,290,96.93,30,220,318,22.71,4,105
102,12,11,11,2042,1396,262,116.33,30,510,331,30.09,4,127
103,14,13,13,1946,1212,283,86.57,30,168,335,25.77,4,94
104,12,11,11,1746,1073,245,89.42,30,240,324,29.45,4,107
105,13,12,12,1988,1326,325,102.00,40,384,347,28.92,3,101
106,11,10,10,1827,1230,223,111.82,45,168,251,25.10,4,91
107,15,14,14,1838,1135,292,75.67,30,168,308,22.00,4,101
108,11,10,10,2293,1624,253,147.64,30,486,270,27.00,3,104
109,15,14,14,1794,1081,295,72.07,35,220,321,22.93,4,88
110,14,13,13,2042,1360,240,97.14,42,170,299,23.00,4,108
111,14,13,13,1825,1174,263,83.86,35,171,287,22.08,4,97
112,13,12,12,2144,1464,320,112.62,25,434,354,29.50,3,101
113,13,12,12,1938,1305,243,100.38,30,330,331,27.58,3,94
114,13,12,12,1855,1211,213,93.15,30,168,239,19.92,4,77
115,13,12,12,2372,1681,265,129.31,42,377,282,23.50,4,104
116,14,13,13,1750,1177,231,84.07,35,192,287,22.08,4,96
117,12,11,11,1959,1264,275,105.33,35,208,327,29.73,3,76
118,16,15,15,2526,1805,290,112.81,30,230,319,21.27,4,98
119,12,11,11,2233,1578,277,131.50,48,462,316,28.73,4,77
120,15,14,14,2246,1534,270,102.27,35,405,346,24.71,4,108
121,11,10,10,1892,1270,250,115.45,48,288,304,30.40,3,88
122,16,15,15,1880,1153,279,72.06,25,242,339,22.60,4,105
123,10,9,9,1358,804,335,80.40,35,308,405,45.00,3,109
124,15,14,14,2217,1510,272,100.67,35,171,368,26.29,3,107
125,12,11,11,1754,1151,230,95.92,25,220,273,24.82,4,98
126,15,14,14,1908,1193,272,79.53,25,200,320,22.86,3,91
127,12,11,11,1606,1040,251,86.67,30,160,329,29.91,4,103
128,14,13,13,2263,1601,277,114.36,40,252,311,23.92,4,100
129,12,11,11,2205,1512,226,126.00,36,512,283,25.73,4,95
130,14,13,13,2108,1409,267,100.64,40,234,330,25.38,3,104
131,14,13,13,2053,1378,287,98.43,35,252,328,25.23,4,103
132,13,12,12,2179,1444,291,111.08,35,650,339,28.25,3,100
133,14,13,13,2329,1597,240,114.07,25,304,310,23.85,4,110
134,14,13,13,2044,1341,283,95.79,30,323,339,26.08,3,105
135,16,15,15,2049,1354,294,84.63,30,276,331,22.07,4,118
136,16,15,15,2094,1428,304,89.25,30,399,360,24.00,4,98
137,13,12,12,2302,1556,286,119.69,35,351,325,27.08,3,106
138,13,12,12,1898,1298,239,99.85,35,403,277,23.08,4,102
139,15,14,14,1738,1050,318,70.00,25,255,336,24.00,4,100
140,12,11,11,2276,1561,253,130.08,45,276,329,29.91,3,78
141,13,12,12,2019,1382,243,106.31,30,209,259,21.58,4,99
142,12,11,11,2179,1526,269,127.17,35,352,308,28.00,3,104
143,15,14,14,2172,1432,290,95.47,25,196,356,25.43,4,116
144,12,11,11,1734,1085,273,90.42,45,242,308,28.00,3,109
145,16,15,15,2123,1358,278,84.88,25,208,321,21.40,4,102
146,12,11,11,1828,1227,220,102.25,30,240,264,24.00,4,105
147,16,15,15,1950,1219,326,76.19,35,180,364,24.27,4,89
148,12,11,11,2046,1438,248,119.83,25,312,283,25.73,4,102
149,14,13,13,1663,1026,226,73.29,25,221,274,21.08,4,100
150,11,10,10,1765,1156,252,105.09,35,192,273,27.30,4,98
151,15,14,14,2293,1551,251,103.40,36,238,310,22.14,4,90
152,11,10,10,1911,1352,225,122.91,35,440,286,28.60,4,94
153,14,13,13,2242,1564,285,111.71,35,308,318,24.46,4,96
154,14,13,13,2292,1605,283,114.64,25,400,328,25.23,4,102
155,16,15,15,2290,1531,296,95.69,30,275,329,21.93,4,102
156,15,14,14,1897,1238,264,82.53,30,220,304,21.71,4,93
157,14,13,13,2099,1471,291,105.07,40,336,342,26.31,3,108
158,14,13,13,2170,1432,253,102.29,30,200,282,21.69,4,101
159,13,12,12,2413,1738,277,133.69,36,648,328,27.33,3,99
160,14,13,13,2563,1860,329,132.86,30,783,368,28.31,4,106
161,11,10,10,1682,1047,244,95.18,36,210,292,29.20,3,72
162,15,14,14,2556,1904,291,126.93,30,608,342,24.43,3,109
163,12,11,11,1730,1116,284,93.00,40,300,340,30.91,3,97
164,13,12,12,1747,1120,258,86.15,35,234,300,25.00,4,94
165,12,11,11,2117,1498,232,124.83,30,330,295,26.82,4,110
166,15,14,14,1595,991,293,66.07,25,110,346,24.71,4,114
167,11,10,10,1555,972,265,88.36,42,186,314,31.40,3,85
168,15,14,14,1976,1250,283,83.33,36,152,316,22.57,4,95
169,12,11,11,1755,1224,227,102.00,30,408,251,22.82,4,95
170,14,13,13,1985,1303,291,93.07,25,234,340,26.15,4,102
171,11,10,10,2016,1447,239,131.55,45,459,266,26.60,4,102
172,13,12,12,1926,1282,242,98.62,30,252,322,26.83,3,72
173,12,11,11,1522,939,251,78.25,25,189,281,25.55,4,107
174,14,13,13,1805,1145,249,81.79,30,144,298,22.92,4,95
175,12,11,11,1666,1082,211,90.17,36,170,257,23.36,4,89
176,13,12,12,1960,1279,295,98.38,35,253,341,28.42,3,104
177,14,13,13,2363,1677,251,119.79,36,299,321,24.69,4,101
178,16,15,15,2018,1322,315,82.63,36,216,353,23.53,4,106
179,16,15,15,1929,1268,287,79.25,36,240,315,21.00,4,105
180,14,13,13,1963,1229,336,87.79,30,270,369,28.38,3,105
181,14,13,13,1661,1051,259,75.07,30,168,306,23.54,4,88
182,16,15,15,2275,1575,287,98.44,30,300,338,22.53,4,102
183,16,15,15,2276,1586,253,99.13,35,286,306,20.40,4,94
184,12,11,11,1972,1333,258,111.08,25,280,314,28.55,3,74
185,15,14,14,1762,1001,314,66.73,30,135,350,25.00,4,120
186,12,11,11,1891,1215,296,101.25,35,198,316,28.73,3,95
187,15,14,14,2398,1653,283,110.20,36,348,318,22.71,4,101
188,10,9,9,2001,1418,219,141.80,40,567,322,35.78,3,91
189,14,13,13,2115,1407,275,100.50,35,247,303,23.31,4,98
190,12,11,11,2554,1887,326,157.25,36,483,350,31.82,3,96
191,15,14,14,2108,1403,275,93.53,36,190,311,22.21,4,92
192,12,11,11,2171,1561,218,130.08,25,360,257,23.36,4,102
193,15,14,14,1925,1204,298,80.27,35,180,329,23.50,4,106
194,10,9,9,1980,1391,268,139.10,48,625,296,32.89,3,105
195,14,13,13,2156,1493,289,106.64,40,224,321,24.69,3,102
196,12,11,11,1848,1289,245,107.42,42,225,296,26.91,4,92
197,15,14,14,1978,1317,262,87.80,35,200,341,24.36,4,100
198,13,12,12,2467,1779,259,136.85,36,342,304,25.33,4,103
199,15,14,14,2247,1535,304,102.33,25,567,340,24.29,4,111
200,16,15,15,1752,1089,282,68.06,35,180,341,22.73,4,111
201,16,15,15,1874,1179,297,73.69,35,270,359,23.93,4,98
202,13,12,12,2053,1427,220,109.77,48,286,255,21.25,4,97
203,14,13,13,2175,1417,315,101.21,40,231,356,27.38,4,113
204,16,15,15,1789,1082,296,67.63,25,128,366,24.40,4,105
205,13,12,12,2115,1447,274,111.31,25,384,311,25.92,3,111
206,13,12,12,2100,1471,215,113.15,36,288,251,20.92,4,89
207,12,11,11,2426,1785,268,148.75,50,272,290,26.36,3,109
208,14,13,13,2394,1683,295,120.21,30,320,328,25.23,3,104
209,11,10,10,1935,1322,261,120.18,40,414,293,29.30,3,106
210,16,15,15,2502,1731,296,108.19,48,325,329,21.93,4,98
211,12,11,11,2147,1487,253,123.92,25,289,302,27.45,3,90
212,15,14,14,1797,1165,248,77.67,25,228,299,21.36,4,93
213,11,10,10,2118,1456,237,132.36,40,450,262,26.20,4,98
214,14,13,13,1985,1266,252,90.43,25,176,302,23.23,4,99
215,12,11,11,2009,1375,217,114.58,30,342,259,23.55,4,98
216,14,13,13,2200,1493,301,106.64,40,276,345,26.54,4,103
217,12,11,11,1856,1242,218,103.50,25,220,277,25.18,4,107
218,14,13,13,2519,1805,265,128.93,35,384,306,23.54,4,106
219,11,10,10,2053,1466,216,133.27,42,575,242,24.20,4,95
220,14,13,13,2032,1324,276,94.57,30,221,310,23.85,4,91
221,16,15,15,1758,1090,240,68.13,30,264,300,20.00,4,90
222,13,12,12,2189,1498,313,115.23,48,200,342,28.50,4,106
223,14,13,13,2274,1620,249,115.71,54,264,266,20.46,4,96
224,16,15,15,1988,1247,279,77.94,25,224,329,21.93,4,98
225,13,12,12,2282,1549,227,119.15,42,319,264,22.00,4,93
226,15,14,14,1840,1160,262,77.33,48,150,356,25.43,4,90
227,16,15,15,1841,1142,293,71.38,35,216,352,23.47,4,101
228,10,9,9,2071,1473,247,147.30,60,384,261,29.00,3,99
229,14,13,13,2123,1475,212,105.36,25,475,259,19.92,4,91
230,12,11,11,1754,1103,303,91.92,30,308,331,30.09,3,93
231,15,14,14,2319,1584,241,105.60,56,195,313,22.36,4,100
232,11,10,10,1868,1176,319,106.91,35,270,360,36.00,3,108
233,15,14,14,1810,1152,341,76.80,30,190,370,26.43,4,112
234,12,11,11,1907,1218,310,101.50,35,174,337,30.64,3,93
235,14,13,13,2240,1607,285,114.79,40,504,383,29.46,4,107
236,12,11,11,2026,1423,260,118.58,35,390,282,25.64,4,107
237,15,14,14,2588,1913,278,127.53,55,252,323,23.07,4,105
238,12,11,11,2152,1488,248,124.00,35,330,271,24.64,4,100
239,16,15,15,2344,1624,272,101.50,25,234,326,21.73,4,91
240,12,11,11,2042,1374,266,114.50,49,270,296,26.91,4,112
241,14,13,13,2287,1605,265,114.64,35,308,315,24.23,4,98
242,12,11,11,2242,1537,221,128.08,35,306,269,24.45,4,93
243,14,13,13,1739,1052,275,75.14,25,140,322,24.77,4,91
244,15,14,14,2292,1615,258,107.67,36,385,292,20.86,4,100
245,15,14,14,1789,1133,296,75.53,25,168,347,24.79,4,104
246,14,13,13,1848,1157,359,82.64,25,198,384,29.54,4,104
247,16,15,15,2034,1304,291,81.50,35,168,321,21.40,4,101
248,15,14,14,2656,1912,254,127.47,30,726,302,21.57,4,100
249,14,13,13,1605,946,265,67.57,25,154,356,27.38,3,97
250,14,13,13,1992,1263,309,90.21,30,297,334,25.69,4,109
251,11,10,10,2044,1365,239,124.09,50,480,255,25.50,4,101
252,15,14,14,2198,1445,313,96.33,35,192,353,25.21,4,99
253,12,11,11,2041,1383,293,115.25,25,351,318,28.91,3,119
254,15,14,14,2150,1433,300,95.53,42,310,326,23.29,3,107
255,12,11,11,1636,997,288,83.08,35,153,326,29.64,3,101
256,15,14,14,1711,1026,323,68.40,30,150,376,26.86,4,117
257,12,11,11,1951,1330,254,110.83,30,242,298,27.09,3,104
258,15,14,14,2174,1509,311,100.60,30,304,342,24.43,4,108
259,12,11,11,1701,1130,266,94.17,35,384,318,28.91,4,110
260,15,14,14,2786,1996,292,133.07,45,368,326,23.29,4,106
261,12,11,11,1629,1072,233,89.33,35,238,259,23.55,4,129
262,15,14,14,1902,1195,316,79.67,25,190,343,24.50,4,87
263,12,11,11,1816,1212,230,101.00,30,330,290,26.36,4,87
264,15,14,14,1944,1292,244,86.13,25,286,321,22.93,4,99
265,16,15,15,2196,1478,275,92.38,30,266,321,21.40,4,93
266,15,14,14,2399,1701,276,113.40,40,204,326,23.29,4,100
267,14,13,13,2231,1557,282,111.21,30,504,312,24.00,4,102
268,13,12,12,1780,1184,246,91.08,30,176,315,26.25,4,109
269,14,13,13,2396,1679,233,119.93,40,399,280,21.54,4,87
270,14,13,13,2158,1479,313,105.64,45,494,345,26.54,3,102
271,15,14,14,1795,1092,312,72.80,42,190,352,25.14,4,111
272,13,12,12,2151,1538,265,118.31,25,513,348,29.00,3,103
273,14,13,13,1765,1106,302,79.00,35,230,341,26.23,4,106
274,10,9,9,1700,1141,234,114.10,49,288,258,28.67,3,100
275,15,14,14,2096,1378,291,91.87,40,276,312,22.29,4,92
276,12,11,11,1665,987,313,82.25,35,330,360,32.73,3,91
277,15,14,14,2230,1528,268,101.87,30,240,299,21.36,4,94
278,12,11,11,2461,1887,309,157.25,36,527,322,29.27,3,88
279,14,13,13,1855,1192,280,85.14,35,198,309,23.77,4,94
280,13,12,12,1629,1089,275,83.77,30,252,314,26.17,4,96
281,15,14,14,2290,1588,255,105.87,35,378,326,23.29,4,109
282,12,11,11,1791,1166,219,97.17,35,225,252,22.91,4,90
283,15,14,14,2353,1586,311,105.73,25,360,384,27.43,3,89
284,11,10,10,2394,1774,224,161.27,30,704,238,23.80,4,96
285,15,14,14,2077,1415,294,94.33,25,247,326,23.29,4,97
286,10,9,9,1565,966,281,96.60,40,203,294,32.67,4,98
287,16,15,15,2273,1519,307,94.94,30,225,345,23.00,4,99
288,14,13,13,2583,1814,229,129.57,25,340,280,21.54,4,102
289,14,13,13,2226,1506,248,107.57,45,435,336,25.85,4,102
290,13,12,12,2010,1374,249,105.69,25,306,314,26.17,4,100
291,14,13,13,1923,1260,257,90.00,40,336,301,23.15,3,96
292,16,15,15,2462,1729,257,108.06,30,231,305,20.33,4,102
293,14,13,13,1851,1234,248,88.14,30,224,304,23.38,4,99
294,13,12,12,2187,1513,276,116.38,35,216,333,27.75,3,105
295,12,11,11,1480,920,243,76.67,48,154,300,27.27,3,86
296,16,15,15,2129,1450,277,90.63,30,242,335,22.33,4,111
297,11,10,10,2165,1528,325,138.91,35,594,357,35.70,3,78
298,14,13,13,2344,1661,270,118.64,30,374,309,23.77,4,92
299,12,11,11,1703,1085,273,90.42,40,216,316,28.73,3,95
300,14,13,13,2530,1829,273,130.64,40,304,306,23.54,4,99
301,11,10,10,1976,1339,267,121.73,30,290,285,28.50,4,107
302,15,14,14,1916,1222,304,81.47,30,128,334,23.86,4,107
303,11,10,10,1685,1114,201,101.27,35,352,239,23.90,4,97
304,15,14,14,2385,1656,266,110.40,25,324,348,24.86,3,101
305,11,10,10,2296,1645,265,149.55,25,432,280,28.00,3,95
306,14,13,13,2136,1466,305,104.71,36,297,339,26.08,3,94
307,12,11,11,1848,1219,237,101.58,25,187,276,25.09,4,100
308,14,13,13,1798,1141,272,81.50,30,198,319,24.54,4,99
309,12,11,11,2171,1494,245,124.50,30,312,287,26.09,4,104
310,16,15,15,2051,1332,338,83.25,40,184,375,25.00,4,106
311,14,13,13,1873,1206,238,86.14,25,264,279,21.46,4,99
312,15,14,14,1778,1068,285,71.20,30,162,359,25.64,4,110
313,16,15,15,2224,1530,312,95.63,42,322,339,22.60,4,102
314,16,15,15,2512,1746,304,109.13,30,592,340,22.67,4,104
315,14,13,13,2013,1341,240,95.79,35,171,298,22.92,4,107
316,14,13,13,2452,1722,297,123.00,30,363,332,25.54,4,103
317,14,13,13,1963,1281,263,91.50,35,168,331,25.46,4,98
318,12,11,11,1947,1303,297,108.58,42,348,315,28.64,3,104
319,16,15,15,2047,1334,238,83.38,35,154,328,21.87,4,88
320,12,11,11,1929,1312,291,109.33,35,372,373,33.91,4,92
321,15,14,14,2515,1838,270,122.53,30,476,311,22.21,4,107
322,13,12,12,2026,1360,270,104.62,25,437,329,27.42,4,106
323,15,14,14,2135,1437,286,95.80,42,180,319,22.79,4,92
324,11,10,10,1792,1230,199,111.82,25,384,341,34.10,3,78
325,15,14,14,1961,1295,326,86.33,25,288,356,25.43,3,107
326,12,11,11,1754,1152,237,96.00,40,228,283,25.73,4,98
327,16,15,15,2134,1444,281,90.25,30,180,351,23.40,4,100
328,12,11,11,2203,1599,217,133.25,25,357,234,21.27,4,95
329,16,15,15,2157,1396,265,87.25,30,154,371,24.73,4,92
330,11,10,10,1559,996,261,90.55,40,198,277,27.70,4,103
331,14,13,13,1950,1254,246,89.57,48,270,300,23.08,4,94
332,13,12,12,2146,1486,268,114.31,25,374,285,23.75,4,96
333,16,15,15,1823,1124,314,70.25,30,144,369,24.60,4,97
334,14,13,13,1963,1288,270,92.00,42,220,319,24.54,4,98
335,14,13,13,2591,1854,298,132.43,40,720,340,26.15,4,107
336,15,14,14,2453,1723,289,114.87,48,351,342,24.43,3,104
337,14,13,13,2229,1532,249,109.43,45,220,303,23.31,4,101
338,14,13,13,2288,1588,298,113.43,30,272,354,27.23,4,104
339,13,12,12,1819,1171,303,90.08,30,210,327,27.25,4,99
340,16,15,15,2018,1359,285,84.94,40,266,325,21.67,4,102
341,10,9,9,1894,1307,197,130.70,40,285,293,32.56,3,101
342,15,14,14,2422,1668,256,111.20,36,270,296,21.14,4,97
343,12,11,11,2006,1383,258,115.25,42,286,330,30.00,3,91
344,14,13,13,2134,1495,245,106.79,42,450,302,23.23,4,94
345,11,10,10,2350,1722,269,156.55,54,528,301,30.10,3,107
346,16,15,15,2080,1386,279,86.63,35,220,330,22.00,4,98
347,12,11,11,1892,1281,235,106.75,25,280,262,23.82,4,103
348,15,14,14,2060,1349,295,89.93,25,198,330,23.57,4,110
349,12,11,11,1747,1194,224,99.50,30,224,238,21.64,4,96
350,15,14,14,2140,1470,280,98.00,40,240,305,21.79,4,106
351,12,11,11,2177,1559,245,129.92,40,494,273,24.82,4,107
352,13,12,12,2277,1590,249,122.31,70,210,287,23.92,4,97
353,12,11,11,1937,1323,214,110.25,35,264,259,23.55,4,93
354,13,12,12,2278,1590,243,122.31,42,308,295,24.58,3,100
355,13,12,12,2288,1660,232,127.69,30,400,326,27.17,4,82
356,16,15,15,2127,1450,296,90.63,30,195,337,22.47,4,101
357,15,14,14,1882,1247,282,83.13,30,280,314,22.43,4,103
358,13,12,12,2210,1511,307,116.23,35,720,328,27.33,3,115
359,13,12,12,1844,1200,249,92.31,40,231,284,23.67,4,113
360,16,15,15,1936,1292,253,80.75,30,240,336,22.40,4,101
361,14,13,13,2027,1348,269,96.29,35,294,305,23.46,4,98
362,11,10,10,1580,955,311,86.82,48,180,333,33.30,3,71
363,15,14,14,1870,1169,263,77.93,30,136,319,22.79,4,104
364,12,11,11,1975,1287,292,107.25,30,340,367,33.36,3,111
365,13,12,12,1899,1254,288,96.46,25,280,322,26.83,4,93
366,12,11,11,2454,1818,218,151.50,35,700,280,25.45,3,86
367,15,14,14,1665,1029,283,68.60,25,184,327,23.36,4,107
368,12,11,11,1652,1009,268,84.08,30,180,350,31.82,3,108
369,14,13,13,1702,1043,280,74.50,30,168,322,24.77,4,94
370,11,10,10,1672,1126,202,102.36,40,320,244,24.40,4,105
371,14,13,13,1895,1228,276,87.71,30,204,324,24.92,4,91
372,12,11,11,1548,957,226,79.75,35,156,278,25.27,4,102
373,15,14,14,1945,1251,267,83.40,25,187,310,22.14,4,110
374,12,11,11,1738,1071,226,89.25,42,154,268,24.36,4,99
375,16,15,15,1981,1265,266,79.06,35,171,375,25.00,4,91
376,11,10,10,1654,1130,184,102.73,35,323,235,23.50,4,83
377,15,14,14,2200,1509,291,100.60,50,272,310,22.14,4,109
378,14,13,13,1656,1050,253,75.00,30,195,332,25.54,4,95
379,15,14,14,1928,1215,313,81.00,40,154,348,24.86,4,99
380,13,12,12,2219,1584,272,121.85,30,468,318,26.50,3,103
381,13,12,12,2200,1524,247,117.23,30,364,323,26.92,3,102
382,13,12,12,2003,1360,244,104.62,30,341,285,23.75,4,91
383,16,15,15,1991,1283,306,80.19,35,168,324,21.60,4,104
384,16,15,15,2355,1632,268,102.00,25,306,306,20.40,4,99
385,12,11,11,1520,920,315,76.67,30,225,370,33.64,3,95
386,14,13,13,2498,1796,271,128.29,40,420,305,23.46,4,100
387,12,11,11,2148,1473,276,122.75,42,400,300,27.27,3,103
388,16,15,15,2288,1567,247,97.94,35,270,299,19.93,4,96
389,11,10,10,1903,1313,293,119.36,49,312,316,31.60,3,84
390,14,13,13,1945,1262,247,90.14,30,165,274,21.08,4,101
391,12,11,11,2171,1599,219,133.25,30,462,300,27.27,3,106
392,15,14,14,2356,1579,290,105.27,35,380,341,24.36,4,110
393,11,10,10,1939,1318,231,119.82,30,320,270,27.00,4,109
394,15,14,14,2385,1651,268,110.07,48,340,324,23.14,4,106
395,12,11,11,1755,1148,245,95.67,48,204,325,29.55,4,142
396,16,15,15,2030,1291,301,80.69,30,240,341,22.73,4,99
397,11,10,10,1926,1265,212,115.00,45,238,275,27.50,4,91
398,14,13,13,1873,1202,245,85.86,40,198,293,22.54,4,95
399,14,13,13,2050,1386,220,99.00,30,224,264,20.31,4,96
400,14,13,13,2078,1435,285,102.50,30,288,327,25.15,3,95
401,16,15,15,2326,1554,285,97.13,30,330,314,20.93,4,97
402,13,12,12,2052,1370,262,105.38,30,330,296,24.67,3,93
403,13,12,12,2217,1521,242,117.00,35,378,263,21.92,4,95
404,13,12,12,2246,1573,248,121.00,36,486,317,26.42,4,100
405,16,15,15,1957,1213,277,75.81,30,220,370,24.67,4,112
406,16,15,15,2015,1342,286,83.88,30,240,342,22.80,4,102
