Seed,Rooms,Connections,Corridors,FloorCells,RoomCells,CorridorCells,CAAddedCells,AverageRoomArea,SmallestRoomArea,LargestRoomArea,TotalCorridorLength,AverageCorridorLength,GraphDistance,ShortestPlayablePath,GenerationTimeMs
28,14,13,13,2173,1417,251,641,101.21,30,286,286,22.00,4,93,24.0261
29,12,11,11,2256,1627,272,522,135.58,40,480,339,30.82,3,87,22.8005
30,15,14,14,1884,1208,284,541,80.53,30,189,334,23.86,4,109,20.2482
31,11,10,10,2161,1534,284,480,139.45,25,504,336,33.60,3,82,22.1638
32,14,13,13,1954,1288,297,544,92.00,45,275,328,25.23,4,93,21.4584
33,12,11,11,2359,1677,262,570,139.75,35,286,317,28.82,3,102,25.4721
34,14,13,13,1947,1283,251,556,91.64,35,342,312,24.00,3,98,21.2398
35,12,11,11,1457,935,211,407,77.92,30,192,235,21.36,4,106,15.7466
36,14,13,13,2125,1486,292,549,106.14,35,260,310,23.85,3,102,21.9318
37,12,11,11,1984,1428,212,474,119.00,35,525,242,22.00,4,94,21.3829
38,14,13,13,1956,1211,304,577,86.50,35,161,328,25.23,3,100,21.6893
39,12,11,11,1696,1094,218,497,91.17,40,208,255,23.18,4,104,18.5291
40,15,14,14,2138,1456,289,566,97.07,35,210,333,23.79,4,104,23.5016
41,10,9,9,1844,1280,218,458,128.00,30,418,240,26.67,4,105,19.2084
42,14,13,13,1678,1011,286,515,72.21,30,140,341,26.23,4,103,18.2119
43,15,14,14,2536,1870,284,563,124.67,35,750,320,22.86,3,109,29.2961
44,14,13,13,1726,1076,276,490,76.86,36,144,368,28.31,3,91,30.3881
45,14,13,13,1682,1063,235,510,75.93,25,154,272,20.92,4,106,18.3246
46,14,13,13,1625,954,263,533,68.14,36,128,299,23.00,4,88,17.4941
47,15,14,14,2665,1927,295,653,128.47,35,420,320,22.86,4,95,30.4175
48,14,13,13,2151,1430,269,609,102.14,40,357,304,23.38,3,95,24.0362
49,14,13,13,1823,1145,255,538,81.79,25,210,277,21.31,4,95,20.1004
50,11,10,10,2208,1575,260,524,143.18,45,528,270,27.00,3,114,23.2959
51,13,12,12,1804,1170,275,497,90.00,25,195,326,27.17,3,105,19.1572
52,11,10,10,1964,1339,223,561,121.73,30,264,269,26.90,3,97,21.5878
53,15,14,14,1855,1200,250,544,80.00,30,154,296,21.14,4,100,20.2694
54,12,11,11,1659,1021,250,499,85.08,35,224,352,32.00,3,100,18.3397
55,15,14,14,2089,1377,286,597,91.80,36,171,342,24.43,4,103,21.9163
56,12,11,11,2101,1392,287,568,116.00,30,504,346,31.45,3,101,22.7281
57,14,13,13,2294,1548,283,605,110.57,35,231,312,24.00,4,96,25.3562
58,12,11,11,1814,1227,249,468,102.25,40,240,287,26.09,4,93,17.0469
59,14,13,13,1872,1276,227,506,91.14,40,250,288,22.15,4,103,18.6831
60,12,11,11,1778,1135,241,527,94.58,30,220,257,23.36,4,104,18.4926
61,15,14,14,2052,1355,246,586,90.33,60,136,285,20.36,4,93,23.1522
62,11,10,10,1590,1020,186,486,92.73,25,180,217,21.70,4,93,16.4791
63,15,14,14,2202,1535,299,534,102.33,30,621,328,23.43,4,97,22.9675
64,12,11,11,1886,1240,207,559,103.33,56,165,249,22.64,4,101,20.4254
65,14,13,13,2128,1445,249,583,103.21,42,252,281,21.62,4,100,22.5785
66,14,13,13,2137,1430,303,568,102.14,25,323,333,25.62,4,144,23.5268
67,14,13,13,1574,918,306,474,65.57,25,165,377,29.00,3,101,16.9368
68,14,13,13,2167,1434,272,612,102.43,40,198,317,24.38,4,98,22.6207
69,13,12,12,1937,1231,286,539,94.69,40,234,302,25.17,4,102,20.4006
70,15,14,14,1920,1212,261,578,80.80,35,297,318,22.71,3,105,21.0159
71,16,15,15,2264,1561,288,599,97.56,30,420,352,23.47,4,101,25.2289
72,14,13,13,2351,1636,296,605,116.86,35,390,323,24.85,4,119,26.5220
73,11,10,10,2308,1625,235,578,147.73,40,600,293,29.30,3,98,24.6136
74,15,14,14,2053,1358,256,589,90.53,25,180,308,22.00,4,105,22.4126
75,12,11,11,1834,1165,311,566,97.08,42,312,365,33.18,3,94,19.4353
76,14,13,13,1981,1397,279,472,99.79,25,486,299,23.00,4,96,20.8780
77,13,12,12,2060,1384,301,526,106.46,30,396,322,26.83,3,105,22.7451
78,14,13,13,1912,1218,265,566,87.00,25,169,299,23.00,4,99,20.9792
79,10,9,9,1980,1436,253,445,143.60,35,648,302,33.56,3,61,18.5222
80,14,13,13,2539,1805,278,611,128.93,45,304,315,24.23,4,100,27.9599
81,12,11,11,1655,1000,278,514,83.33,40,155,305,27.73,4,106,17.5939
82,14,13,13,1903,1229,287,529,87.79,30,171,309,23.77,4,100,20.5539
83,11,10,10,1910,1358,207,459,123.45,25,459,220,22.00,4,87,17.5073
84,16,15,15,2148,1367,290,638,85.44,30,168,321,21.40,4,112,25.0296
85,12,11,11,1835,1223,217,521,101.92,35,357,235,21.36,4,82,18.4349
86,16,15,15,1793,1131,302,523,70.69,25,192,344,22.93,4,93,19.7086
87,16,15,15,2203,1532,256,564,95.75,30,357,306,20.40,4,99,22.3256
88,14,13,13,2148,1457,251,576,104.07,30,175,307,23.62,4,98,22.7373
89,14,13,13,1757,1141,255,484,81.50,30,176,331,25.46,4,95,17.4376
90,14,13,13,2355,1637,322,583,116.93,35,486,372,28.62,3,101,26.7364
91,16,15,15,2200,1528,275,550,95.50,25,252,341,22.73,4,101,23.6653
92,13,12,12,1689,1063,264,497,81.77,35,234,296,24.67,4,100,19.3872
93,14,13,13,2249,1546,264,578,110.43,40,399,331,25.46,4,100,24.9315
94,14,13,13,2353,1659,234,615,118.50,30,260,321,24.69,3,97,25.7256
95,13,12,12,2190,1538,262,533,118.31,35,459,302,25.17,4,100,23.7843
96,12,11,11,1930,1271,267,546,105.92,25,276,316,28.73,4,103,33.8444
97,14,13,13,2102,1408,261,576,100.57,30,232,321,24.69,4,103,23.0104
98,12,11,11,1682,1087,221,479,90.58,25,225,302,27.45,3,111,18.3661
99,14,13,13,1989,1338,288,517,95.57,25,276,335,25.77,4,92,20.1967
100,12,11,11,1875,1196,302,532,99.67,30,220,336,30.55,3,76,18.3077
101,15,14,14,2163,1454,290,584,96.93,30,220,318,22.71,4,105,24.3151
102,12,11,11,2042,1396,262,509,116.33,30,510,331,30.09,4,127,21.7800
103,14,13,13,1946,1212,283,574,86.57,30,168,335,25.77,4,94,21.4095
104,12,11,11,1746,1073,245,527,89.42,30,240,324,29.45,4,107,18.6123
105,13,12,12,1988,1326,325,502,102.00,40,384,347,28.92,3,101,19.8768
106,11,10,10,1827,1230,223,510,111.82,45,168,251,25.10,4,91,19.7607
107,15,14,14,1838,1135,292,573,75.67,30,168,308,22.00,4,101,20.9310
108,11,10,10,2293,1624,253,562,147.64,30,486,270,27.00,3,104,24.1181
109,15,14,14,1794,1081,295,564,72.07,35,220,321,22.93,4,88,19.9065
110,14,13,13,2042,1360,240,591,97.14,42,170,299,23.00,4,108,23.1494
111,14,13,13,1825,1174,263,541,83.86,35,171,287,22.08,4,97,20.4695
112,13,12,12,2144,1464,320,539,112.62,25,434,354,29.50,3,101,22.7390
113,13,12,12,1938,1305,243,528,100.38,30,330,331,27.58,3,94,21.5938
114,13,12,12,1855,1211,213,556,93.15,30,168,239,19.92,4,77,19.5564
115,13,12,12,2372,1681,265,592,129.31,42,377,282,23.50,4,104,26.4381
116,14,13,13,1750,1177,231,478,84.07,35,192,287,22.08,4,96,18.3676
117,12,11,11,1959,1264,275,568,105.33,35,208,327,29.73,3,76,19.9828
118,16,15,15,2526,1805,290,634,112.81,30,230,319,21.27,4,98,28.3021
119,12,11,11,2233,1578,277,536,131.50,48,462,316,28.73,4,77,22.6702
120,15,14,14,2246,1534,270,598,102.27,35,405,346,24.71,4,108,24.8704
121,11,10,10,1892,1270,250,478,115.45,48,288,304,30.40,3,88,19.2804
122,16,15,15,1880,1153,279,572,72.06,25,242,339,22.60,4,105,21.0979
123,10,9,9,1358,804,335,311,80.40,35,308,405,45.00,3,109,13.2239
124,15,14,14,2217,1510,272,561,100.67,35,171,368,26.29,3,107,24.2114
125,12,11,11,1754,1151,230,487,95.92,25,220,273,24.82,4,98,18.0625
126,15,14,14,1908,1193,272,599,79.53,25,200,320,22.86,3,91,21.1021
127,12,11,11,1606,1040,251,435,86.67,30,160,329,29.91,4,103,16.2349
128,14,13,13,2263,1601,277,550,114.36,40,252,311,23.92,4,100,24.8121
129,12,11,11,2205,1512,226,571,126.00,36,512,283,25.73,4,95,22.0439
130,14,13,13,2108,1409,267,578,100.64,40,234,330,25.38,3,104,23.7975
131,14,13,13,2053,1378,287,542,98.43,35,252,328,25.23,4,103,21.2003
132,13,12,12,2179,1444,291,586,111.08,35,650,339,28.25,3,100,23.7443
133,14,13,13,2329,1597,240,605,114.07,25,304,310,23.85,4,110,24.9865
134,14,13,13,2044,1341,283,580,95.79,30,323,339,26.08,3,105,22.7785
135,16,15,15,2049,1354,294,578,84.63,30,276,331,22.07,4,118,23.1135
136,16,15,15,2094,1428,304,554,89.25,30,399,360,24.00,4,98,23.0949
137,13,12,12,2302,1556,286,630,119.69,35,351,325,27.08,3,106,25.7807
138,13,12,12,1898,1298,239,491,99.85,35,403,277,23.08,4,102,20.1702
139,15,14,14,1738,1050,318,507,70.00,25,255,336,24.00,4,100,18.7168
140,12,11,11,2276,1561,253,615,130.08,45,276,329,29.91,3,78,24.4292
141,13,12,12,2019,1382,243,531,106.31,30,209,259,21.58,4,99,21.4515
142,12,11,11,2179,1526,269,541,127.17,35,352,308,28.00,3,104,24.0597
143,15,14,14,2172,1432,290,617,95.47,25,196,356,25.43,4,116,24.2735
144,12,11,11,1734,1085,273,500,90.42,45,242,308,28.00,3,109,18.1778
145,16,15,15,2123,1358,278,650,84.88,25,208,321,21.40,4,102,24.9861
146,12,11,11,1828,1227,220,503,102.25,30,240,264,24.00,4,105,18.8736
147,16,15,15,1950,1219,326,549,76.19,35,180,364,24.27,4,89,20.8377
148,12,11,11,2046,1438,248,501,119.83,25,312,283,25.73,4,102,20.0089
149,14,13,13,1663,1026,226,533,73.29,25,221,274,21.08,4,100,30.0891
150,11,10,10,1765,1156,252,497,105.09,35,192,273,27.30,4,98,19.1175
151,15,14,14,2293,1551,251,665,103.40,36,238,310,22.14,4,90,26.7481
152,11,10,10,1911,1352,225,445,122.91,35,440,286,28.60,4,94,19.0299
153,14,13,13,2242,1564,285,567,111.71,35,308,318,24.46,4,96,24.3194
154,14,13,13,2292,1605,283,577,114.64,25,400,328,25.23,4,102,25.3909
155,16,15,15,2290,1531,296,635,95.69,30,275,329,21.93,4,102,25.7646
156,15,14,14,1897,1238,264,549,82.53,30,220,304,21.71,4,93,19.8850
157,14,13,13,2099,1471,291,516,105.07,40,336,342,26.31,3,108,22.5499
158,14,13,13,2170,1432,253,621,102.29,30,200,282,21.69,4,101,23.1651
159,13,12,12,2413,1738,277,530,133.69,36,648,328,27.33,3,99,25.4009
160,14,13,13,2563,1860,329,560,132.86,30,783,368,28.31,4,106,30.6285
161,11,10,10,1682,1047,244,505,95.18,36,210,292,29.20,3,72,15.9557
162,15,14,14,2556,1904,291,532,126.93,30,608,342,24.43,3,109,28.2373
163,12,11,11,1730,1116,284,441,93.00,40,300,340,30.91,3,97,17.5936
164,13,12,12,1747,1120,258,515,86.15,35,234,300,25.00,4,94,19.0639
165,12,11,11,2117,1498,232,520,124.83,30,330,295,26.82,4,110,22.1120
166,15,14,14,1595,991,293,459,66.07,25,110,346,24.71,4,114,17.0380
167,11,10,10,1555,972,265,448,88.36,42,186,314,31.40,3,85,15.4639
168,15,14,14,1976,1250,283,577,83.33,36,152,316,22.57,4,95,21.7578
169,12,11,11,1755,1224,227,428,102.00,30,408,251,22.82,4,95,18.5300
170,14,13,13,1985,1303,291,560,93.07,25,234,340,26.15,4,102,20.9794
171,11,10,10,2016,1447,239,487,131.55,45,459,266,26.60,4,102,21.3741
172,13,12,12,1926,1282,242,537,98.62,30,252,322,26.83,3,72,20.6013
173,12,11,11,1522,939,251,437,78.25,25,189,281,25.55,4,107,15.3452
174,14,13,13,1805,1145,249,552,81.79,30,144,298,22.92,4,95,19.6790
175,12,11,11,1666,1082,211,470,90.17,36,170,257,23.36,4,89,17.8149
176,13,12,12,1960,1279,295,508,98.38,35,253,341,28.42,3,104,21.5111
177,14,13,13,2363,1677,251,583,119.79,36,299,321,24.69,4,101,25.1486
178,16,15,15,2018,1322,315,558,82.63,36,216,353,23.53,4,106,22.1942
179,16,15,15,1929,1268,287,526,79.25,36,240,315,21.00,4,105,20.7823
180,14,13,13,1963,1229,336,542,87.79,30,270,369,28.38,3,105,21.6984
181,14,13,13,1661,1051,259,514,75.07,30,168,306,23.54,4,88,17.6492
182,16,15,15,2275,1575,287,576,98.44,30,300,338,22.53,4,102,25.0033
183,16,15,15,2276,1586,253,580,99.13,35,286,306,20.40,4,94,24.3418
184,12,11,11,1972,1333,258,502,111.08,25,280,314,28.55,3,74,20.3543
185,15,14,14,1762,1001,314,583,66.73,30,135,350,25.00,4,120,20.0050
186,12,11,11,1891,1215,296,532,101.25,35,198,316,28.73,3,95,19.8786
187,15,14,14,2398,1653,283,640,110.20,36,348,318,22.71,4,101,26.5344
188,10,9,9,2001,1418,219,475,141.80,40,567,322,35.78,3,91,20.5052
189,14,13,13,2115,1407,275,576,100.50,35,247,303,23.31,4,98,23.1359
190,12,11,11,2554,1887,326,536,157.25,36,483,350,31.82,3,96,27.8476
191,15,14,14,2108,1403,275,579,93.53,36,190,311,22.21,4,92,23.3359
192,12,11,11,2171,1561,218,516,130.08,25,360,257,23.36,4,102,23.2764
193,15,14,14,1925,1204,298,550,80.27,35,180,329,23.50,4,106,20.9234
194,10,9,9,1980,1391,268,482,139.10,48,625,296,32.89,3,105,20.7351
195,14,13,13,2156,1493,289,577,106.64,40,224,321,24.69,3,102,23.6345
196,12,11,11,1848,1289,245,460,107.42,42,225,296,26.91,4,92,18.7418
197,15,14,14,1978,1317,262,542,87.80,35,200,341,24.36,4,100,21.7048
198,13,12,12,2467,1779,259,599,136.85,36,342,304,25.33,4,103,27.0923
199,15,14,14,2247,1535,304,540,102.33,25,567,340,24.29,4,111,24.2720
200,16,15,15,1752,1089,282,513,68.06,35,180,341,22.73,4,111,18.6948
201,16,15,15,1874,1179,297,545,73.69,35,270,359,23.93,4,98,20.5629
202,13,12,12,2053,1427,220,543,109.77,48,286,255,21.25,4,97,21.6885
203,14,13,13,2175,1417,315,584,101.21,40,231,356,27.38,4,113,36.1847
204,16,15,15,1789,1082,296,542,67.63,25,128,366,24.40,4,105,19.9667
205,13,12,12,2115,1447,274,549,111.31,25,384,311,25.92,3,111,23.0878
206,13,12,12,2100,1471,215,537,113.15,36,288,251,20.92,4,89,21.1072
207,12,11,11,2426,1785,268,540,148.75,50,272,290,26.36,3,109,26.5771
208,14,13,13,2394,1683,295,609,120.21,30,320,328,25.23,3,104,26.8102
209,11,10,10,1935,1322,261,487,120.18,40,414,293,29.30,3,106,20.0730
210,16,15,15,2502,1731,296,658,108.19,48,325,329,21.93,4,98,27.5696
211,12,11,11,2147,1487,253,569,123.92,25,289,302,27.45,3,90,23.5422
212,15,14,14,1797,1165,248,520,77.67,25,228,299,21.36,4,93,19.3876
213,11,10,10,2118,1456,237,527,132.36,40,450,262,26.20,4,98,20.7454
214,14,13,13,1985,1266,252,605,90.43,25,176,302,23.23,4,99,22.2053
215,12,11,11,2009,1375,217,544,114.58,30,342,259,23.55,4,98,20.8751
216,14,13,13,2200,1493,301,582,106.64,40,276,345,26.54,4,103,24.7151
217,12,11,11,1856,1242,218,494,103.50,25,220,277,25.18,4,107,20.6403
218,14,13,13,2519,1805,265,620,128.93,35,384,306,23.54,4,106,27.8558
219,11,10,10,2053,1466,216,501,133.27,42,575,242,24.20,4,95,22.0727
220,14,13,13,2032,1324,276,585,94.57,30,221,310,23.85,4,91,22.7222
221,16,15,15,1758,1090,240,553,68.13,30,264,300,20.00,4,90,19.1461
222,13,12,12,2189,1498,313,542,115.23,48,200,342,28.50,4,106,23.0272
223,14,13,13,2274,1620,249,567,115.71,54,264,266,20.46,4,96,23.8904
224,16,15,15,1988,1247,279,605,77.94,25,224,329,21.93,4,98,22.4074
225,13,12,12,2282,1549,227,634,119.15,42,319,264,22.00,4,93,23.5058
226,15,14,14,1840,1160,262,540,77.33,48,150,356,25.43,4,90,19.7011
227,16,15,15,1841,1142,293,545,71.38,35,216,352,23.47,4,101,20.2800
228,10,9,9,2071,1473,247,475,147.30,60,384,261,29.00,3,99,20.7167
229,14,13,13,2123,1475,212,566,105.36,25,475,259,19.92,4,91,23.9283
230,12,11,11,1754,1103,303,471,91.92,30,308,331,30.09,3,93,18.4023
231,15,14,14,2319,1584,241,641,105.60,56,195,313,22.36,4,100,25.5582
232,11,10,10,1868,1176,319,512,106.91,35,270,360,36.00,3,108,19.0246
233,15,14,14,1810,1152,341,479,76.80,30,190,370,26.43,4,112,19.4236
234,12,11,11,1907,1218,310,505,101.50,35,174,337,30.64,3,93,18.6379
235,14,13,13,2240,1607,285,524,114.79,40,504,383,29.46,4,107,24.0085
236,12,11,11,2026,1423,260,459,118.58,35,390,282,25.64,4,107,20.4928
237,15,14,14,2588,1913,278,589,127.53,55,252,323,23.07,4,105,28.4025
238,12,11,11,2152,1488,248,556,124.00,35,330,271,24.64,4,100,21.7764
239,16,15,15,2344,1624,272,621,101.50,25,234,326,21.73,4,91,26.4026
240,12,11,11,2042,1374,266,543,114.50,49,270,296,26.91,4,112,22.0086
241,14,13,13,2287,1605,265,574,114.64,35,308,315,24.23,4,98,25.0515
242,12,11,11,2242,1537,221,612,128.08,35,306,269,24.45,4,93,23.6418
243,14,13,13,1739,1052,275,537,75.14,25,140,322,24.77,4,91,18.8866
244,15,14,14,2292,1615,258,588,107.67,36,385,292,20.86,4,100,24.6965
245,15,14,14,1789,1133,296,512,75.53,25,168,347,24.79,4,104,19.1783
246,14,13,13,1848,1157,359,498,82.64,25,198,384,29.54,4,104,19.5506
247,16,15,15,2034,1304,291,600,81.50,35,168,321,21.40,4,101,22.9513
248,15,14,14,2656,1912,254,654,127.47,30,726,302,21.57,4,100,30.4013
249,14,13,13,1605,946,265,518,67.57,25,154,356,27.38,3,97,17.7795
250,14,13,13,1992,1263,309,594,90.21,30,297,334,25.69,4,109,22.0403
251,11,10,10,2044,1365,239,584,124.09,50,480,255,25.50,4,101,22.0692
252,15,14,14,2198,1445,313,617,96.33,35,192,353,25.21,4,99,24.1056
253,12,11,11,2041,1383,293,562,115.25,25,351,318,28.91,3,119,22.7555
254,15,14,14,2150,1433,300,595,95.53,42,310,326,23.29,3,107,23.9460
255,12,11,11,1636,997,288,467,83.08,35,153,326,29.64,3,101,30.1024
256,15,14,14,1711,1026,323,493,68.40,30,150,376,26.86,4,117,18.4363
257,12,11,11,1951,1330,254,495,110.83,30,242,298,27.09,3,104,20.9725
258,15,14,14,2174,1509,311,555,100.60,30,304,342,24.43,4,108,23.1610
259,12,11,11,1701,1130,266,465,94.17,35,384,318,28.91,4,110,17.6761
260,15,14,14,2786,1996,292,682,133.07,45,368,326,23.29,4,106,31.7334
261,12,11,11,1629,1072,233,441,89.33,35,238,259,23.55,4,129,17.2324
262,15,14,14,1902,1195,316,547,79.67,25,190,343,24.50,4,87,21.1041
263,12,11,11,1816,1212,230,511,101.00,30,330,290,26.36,4,87,19.9888
264,15,14,14,1944,1292,244,548,86.13,25,286,321,22.93,4,99,20.9245
265,16,15,15,2196,1478,275,589,92.38,30,266,321,21.40,4,93,22.7868
266,15,14,14,2399,1701,276,600,113.40,40,204,326,23.29,4,100,26.2961
267,14,13,13,2231,1557,282,567,111.21,30,504,312,24.00,4,102,24.4382
268,13,12,12,1780,1184,246,508,91.08,30,176,315,26.25,4,109,20.3580
269,14,13,13,2396,1679,233,638,119.93,40,399,280,21.54,4,87,25.4848
270,14,13,13,2158,1479,313,541,105.64,45,494,345,26.54,3,102,23.4228
271,15,14,14,1795,1092,312,547,72.80,42,190,352,25.14,4,111,19.6075
272,13,12,12,2151,1538,265,523,118.31,25,513,348,29.00,3,103,23.1400
273,14,13,13,1765,1106,302,487,79.00,35,230,341,26.23,4,106,19.0904
274,10,9,9,1700,1141,234,447,114.10,49,288,258,28.67,3,100,17.9761
275,15,14,14,2096,1378,291,596,91.87,40,276,312,22.29,4,92,23.7848
276,12,11,11,1665,987,313,492,82.25,35,330,360,32.73,3,91,18.3472
277,15,14,14,2230,1528,268,603,101.87,30,240,299,21.36,4,94,24.5443
278,12,11,11,2461,1887,309,463,157.25,36,527,322,29.27,3,88,24.4714
279,14,13,13,1855,1192,280,528,85.14,35,198,309,23.77,4,94,20.1151
280,13,12,12,1629,1089,275,410,83.77,30,252,314,26.17,4,96,16.9186
281,15,14,14,2290,1588,255,603,105.87,35,378,326,23.29,4,109,24.8026
282,12,11,11,1791,1166,219,514,97.17,35,225,252,22.91,4,90,18.4455
283,15,14,14,2353,1586,311,628,105.73,25,360,384,27.43,3,89,25.6567
284,11,10,10,2394,1774,224,525,161.27,30,704,238,23.80,4,96,25.5713
285,15,14,14,2077,1415,294,553,94.33,25,247,326,23.29,4,97,22.9282
286,10,9,9,1565,966,281,428,96.60,40,203,294,32.67,4,98,15.9027
287,16,15,15,2273,1519,307,624,94.94,30,225,345,23.00,4,99,25.5606
288,14,13,13,2583,1814,229,685,129.57,25,340,280,21.54,4,102,28.9657
289,14,13,13,2226,1506,248,600,107.57,45,435,336,25.85,4,102,24.4042
290,13,12,12,2010,1374,249,524,105.69,25,306,314,26.17,4,100,21.2292
291,14,13,13,1923,1260,257,555,90.00,40,336,301,23.15,3,96,20.6901
292,16,15,15,2462,1729,257,642,108.06,30,231,305,20.33,4,102,26.6604
293,14,13,13,1851,1234,248,530,88.14,30,224,304,23.38,4,99,19.8387
294,13,12,12,2187,1513,276,535,116.38,35,216,333,27.75,3,105,23.2246
295,12,11,11,1480,920,243,428,76.67,48,154,300,27.27,3,86,15.4983
296,16,15,15,2129,1450,277,559,90.63,30,242,335,22.33,4,111,23.4326
297,11,10,10,2165,1528,325,493,138.91,35,594,357,35.70,3,78,20.9048
298,14,13,13,2344,1661,270,567,118.64,30,374,309,23.77,4,92,25.0347
299,12,11,11,1703,1085,273,488,90.42,40,216,316,28.73,3,95,18.1820
300,14,13,13,2530,1829,273,620,130.64,40,304,306,23.54,4,99,27.7090
301,11,10,10,1976,1339,267,504,121.73,30,290,285,28.50,4,107,20.2014
302,15,14,14,1916,1222,304,552,81.47,30,128,334,23.86,4,107,20.8485
303,11,10,10,1685,1114,201,455,101.27,35,352,239,23.90,4,97,16.8613
304,15,14,14,2385,1656,266,619,110.40,25,324,348,24.86,3,101,26.7230
305,11,10,10,2296,1645,265,548,149.55,25,432,280,28.00,3,95,24.6824
306,14,13,13,2136,1466,305,518,104.71,36,297,339,26.08,3,94,23.2411
307,12,11,11,1848,1219,237,519,101.58,25,187,276,25.09,4,100,32.2244
308,14,13,13,1798,1141,272,509,81.50,30,198,319,24.54,4,99,20.1011
309,12,11,11,2171,1494,245,563,124.50,30,312,287,26.09,4,104,23.1616
310,16,15,15,2051,1332,338,544,83.25,40,184,375,25.00,4,106,22.4133
311,14,13,13,1873,1206,238,548,86.14,25,264,279,21.46,4,99,20.5347
312,15,14,14,1778,1068,285,552,71.20,30,162,359,25.64,4,110,20.7764
313,16,15,15,2224,1530,312,533,95.63,42,322,339,22.60,4,102,24.8229
314,16,15,15,2512,1746,304,627,109.13,30,592,340,22.67,4,104,28.1740
315,14,13,13,2013,1341,240,553,95.79,35,171,298,22.92,4,107,22.2695
316,14,13,13,2452,1722,297,619,123.00,30,363,332,25.54,4,103,27.6159
317,14,13,13,1963,1281,263,557,91.50,35,168,331,25.46,4,98,21.0045
318,12,11,11,1947,1303,297,490,108.58,42,348,315,28.64,3,104,20.5622
319,16,15,15,2047,1334,238,611,83.38,35,154,328,21.87,4,88,23.1028
320,12,11,11,1929,1312,291,463,109.33,35,372,373,33.91,4,92,20.1334
321,15,14,14,2515,1838,270,573,122.53,30,476,311,22.21,4,107,28.2762
322,13,12,12,2026,1360,270,522,104.62,25,437,329,27.42,4,106,22.3997
323,15,14,14,2135,1437,286,596,95.80,42,180,319,22.79,4,92,23.2093
324,11,10,10,1792,1230,199,464,111.82,25,384,341,34.10,3,78,18.0858
325,15,14,14,1961,1295,326,511,86.33,25,288,356,25.43,3,107,21.2326
326,12,11,11,1754,1152,237,484,96.00,40,228,283,25.73,4,98,17.4685
327,16,15,15,2134,1444,281,566,90.25,30,180,351,23.40,4,100,23.6497
328,12,11,11,2203,1599,217,535,133.25,25,357,234,21.27,4,95,23.1029
329,16,15,15,2157,1396,265,642,87.25,30,154,371,24.73,4,92,24.2970
330,11,10,10,1559,996,261,441,90.55,40,198,277,27.70,4,103,16.1075
331,14,13,13,1950,1254,246,586,89.57,48,270,300,23.08,4,94,21.2082
332,13,12,12,2146,1486,268,530,114.31,25,374,285,23.75,4,96,20.9236
333,16,15,15,1823,1124,314,520,70.25,30,144,369,24.60,4,97,19.7386
334,14,13,13,1963,1288,270,545,92.00,42,220,319,24.54,4,98,19.9565
335,14,13,13,2591,1854,298,623,132.43,40,720,340,26.15,4,107,28.7814
